Wall time,Step,Value
1701719146.7207966,4,1.5
1701719158.6825497,18,0.0
1701719185.7143915,40,0.25
1701719191.743851,47,2.0
1701719192.6014056,48,0.75
1701719212.371993,62,0.5
1701719213.2320805,63,1.25
1701719216.6972134,67,2.5
1701719220.121798,71,2.0
1701719225.277107,77,1.0
1701719237.0594964,82,1.25
1701719243.0472808,89,0.75
1701719251.543655,99,0.25
1701719254.9373531,103,0.5
1701719267.789057,107,1.0
1701719279.687971,121,2.0
1701719283.0714881,125,1.5
1701719283.9078255,126,2.25
1701719285.6067586,128,3.5
1701719295.0243545,130,1.0
1701719306.967854,144,1.25
1701719309.5223577,147,4.25
1701719326.053328,157,3.0
1701719328.6356955,160,1.75
1701719330.3322272,162,1.75
1701719332.0637531,164,1.0
1701719338.849984,172,2.75
1701719343.081876,177,2.5
1701719362.688102,191,2.75
1701719372.8886833,203,1.5
1701719374.5750928,205,5.0
1701719389.984395,213,3.5
1701719403.5732133,229,3.75
1701719424.4335783,244,3.25
1701719425.3035882,245,2.0
1701719436.4986417,258,4.25
1701719437.3416412,259,5.25
1701719455.3890615,271,4.25
1701719457.9563632,274,4.5
1701719464.7464516,282,5.0
1701719467.2903228,285,4.5
1701719479.60914,290,5.75
1701719483.925164,295,7.25
1701719495.013318,308,7.0
1701719510.0374782,316,9.75
1701719512.644861,319,9.75
1701719515.2244859,322,7.5
1701719542.7828646,345,5.75
1701719543.6343353,346,8.5
1701719553.8775022,358,11.0
1701719566.81187,364,10.0
1701719567.6860142,365,14.5
1701719568.541883,366,13.25
1701719578.8628829,378,7.75
1701719585.677484,386,7.75
1701719596.7201493,390,10.75
1701719598.419363,392,11.75
1701719606.9875288,402,16.0
1701719608.6969283,404,12.25
1701719618.0454443,415,11.5
1701719632.6451595,422,13.25
1701719644.5399308,436,14.25
1701719645.3796914,437,14.0
1701719647.0831277,439,12.0
1701719660.7354214,446,17.25
1701719673.507082,461,20.25
1701719676.9154315,465,17.75
1701719692.5546248,474,21.5
1701719693.4060063,475,24.5
1701719697.657505,480,15.5
1701719698.5022664,481,19.75
1701719703.5981236,487,26.0
1701719730.9422307,510,18.5
1701719732.652506,512,23.0
1701719733.500038,513,23.75
1701719734.3424976,514,24.5
1701719736.8850458,517,20.5
1701719738.5906231,519,20.5
1701719758.3562553,533,22.5
1701719759.1976058,534,29.5
1701719760.895971,536,27.25
1701719762.5957367,538,23.75
1701719764.275726,540,24.5
1701719767.6579773,544,24.5
1701719777.2518163,546,24.75
1701719782.3881102,552,25.5
1701719785.8200266,556,22.5
1701719790.9180787,562,32.5
1701719792.6182742,564,24.5
1701719795.9939504,568,24.75
1701719817.3310246,584,24.5
1701719822.405407,590,28.5
1701719825.7686918,594,31.5
1701719827.459981,596,30.25
1701719850.4320996,614,27.0
1701719858.0834465,623,38.5
1701719870.083901,628,29.0
1701719870.9341433,629,34.25
1701719877.8133583,637,36.25
1701719882.9161203,643,33.75
1701719883.759936,644,32.25
1701719903.323593,658,34.75
1701719910.967529,667,37.75
1701719917.7581534,675,38.25
1701719926.6105926,676,29.5
1701719940.2714102,692,38.25
1701719941.968353,694,33.75
1701719973.6407526,721,38.0
1701719977.0170116,725,46.5
1701719987.5979497,728,37.0
1701719990.16886,731,41.75
1701720001.3071084,744,39.25
1701720026.7715886,764,37.5
1701720036.1308694,775,41.0
1701720036.9876044,776,50.25
1701720050.1707618,782,49.5
1701720055.5490224,788,52.25
1701720069.1267874,804,43.0
1701720069.9683418,805,46.5
1701720081.406168,807,43.0
1701720091.7052283,819,50.25
1701720110.871343,832,49.25
1701720117.7261012,840,43.25
1701720132.1683016,857,43.75
1701720144.351693,862,50.75
1701720147.7764158,866,49.25
1701720152.0141678,871,50.25
1701720172.2521296,886,56.5
1701720181.6498814,897,49.0
1701720185.0601966,901,44.75
1701720217.4110794,930,53.5
1701720219.1107,932,49.25
1701720235.852232,942,43.5
1701720241.8420906,949,46.0
1701720261.5784981,963,42.75
1701720299.9275331,999,47.25
1701720302.4955206,1002,49.75
1701720304.1878004,1004,48.75
1701720321.1598535,1015,50.0
1701720327.227351,1022,49.0
1701720330.635046,1026,53.25
1701720332.3427744,1028,52.5
1701720339.993455,1037,52.25
1701720364.7305944,1056,49.0
1701720384.727499,1070,45.0
